x, res/com, original, y
20,5,384,0.01302
35,24,425,0.05647
42,26,396,0.06566
48,30,402,0.07463
55,20,418,0.04785
62,22,380,0.05789
68,36,439,0.082
74,24,408,0.05882
80,43,446,0.09641
87,16,440,0.03636
